         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       49    0.000    0.000    0.001    0.000 posixpath.py:158(islink)
      119    0.000    0.000    0.001    0.000 __init__.py:419(<genexpr>)
       91    0.000    0.000    0.001    0.000 abc.py:178(__instancecheck__)
        3    0.000    0.000    0.002    0.001 gettext.py:369(find)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       90    0.000    0.000    0.001    0.000 pyparsing.py:1577(__init__)
  209/185    0.000    0.000    0.001    0.000 {built-in method builtins.issubclass}
       70    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
       47    0.000    0.000    0.000    0.000 zipfile.py:320(__init__)
       72    0.000    0.000    0.001    0.000 codecs.py:318(decode)
        1    0.000    0.000    0.012    0.012 quoprimime.py:27(<module>)
      162    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:159(__init__)
        1    0.000    0.000    0.005    0.005 markers.py:4(<module>)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:225(_verbose_message)
      147    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:310(__init__)
       68    0.000    0.000    0.001    0.000 ipaddress.py:1251(__init__)
       82    0.000    0.000    0.000    0.000 pyparsing.py:277(__new__)
        1    0.000    0.000    0.403    0.403 __init__.py:15(<module>)
        1    0.000    0.000    0.002    0.002 arm64.py:3(<module>)
    73/71    0.000    0.000    0.000    0.000 _endian.py:6(_other_endian)
      107    0.000    0.000    0.000    0.000 copyreg.py:87(__newobj__)
        5    0.000    0.000    0.012    0.002 __init__.py:1(<module>)
      110    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
        1    0.000    0.000    0.550    0.550 __init__.py:2(<module>)
      188    0.000    0.000    0.000    0.000 {method 'read' of '_io.BytesIO' objects}
       16    0.000    0.000    0.001    0.000 pyparsing.py:883(setParseAction)
       72    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
      146    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       16    0.000    0.000    0.000    0.000 pyparsing.py:769(_trim_arity)
       72    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.001    0.001 mips.py:3(<module>)
        1    0.000    0.000    0.119    0.119 requirements.py:4(<module>)
      127    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:786(__init__)
       39    0.000    0.000    0.003    0.000 pyparsing.py:1349(__or__)
       39    0.000    0.000    0.002    0.000 pyparsing.py:2514(__init__)
      127    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      159    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:190(cb)
      188    0.000    0.000    0.000    0.000 ipaddress.py:550(__int__)
       94    0.000    0.000    0.000    0.000 ssl.py:131(<lambda>)
        1    0.000    0.000    0.001    0.001 systemz.py:3(<module>)
       35    0.000    0.000    0.000    0.000 sre_parse.py:251(getwhile)
        1    0.000    0.000    0.003    0.003 arm.py:3(<module>)
       29    0.000    0.000    0.001    0.000 argparse.py:581(_format_args)
